acid,SCN3,protein
PI632657,,
PI153681,S,45.1
PI181556,S,43.4
PI200531,S,46.1
PI205908,S,48.6
PI283327,S,48.8
PI374186,S,45.6
PI398210,,41.8
PI407876,MS,52
PI408115,S,48.4
PI416849,S,46.4
PI417061,S,45.4
PI417117,S,45.7
PI437671,S,41.3
PI497966,,49.8
PI506905,S,44.2
PI507005,S,43.5
PI507059,S,45.7
PI561380,,47.7
PI566979C,,46
PI567009B,,48
PI567054B,,53.1
PI567092A,,49.7
PI567144A,,50
PI578324F,,47.1
PI587563C,,43.2
PI594560B,,
PI594610,,50.3
PI594748A,,
PI594876,,
PI605838,,46.6
PI606440B,,
PI612621,,
PI200525,S,47.9
PI200543,S,44.4
PI374164,S,46.2
PI374201,S,
PI398590,S,54.5
PI407973B,S,45
PI408003-2,S,47.1
PI408134C,S,46
PI416948,MS,43.2
PI417054,S,45.4
PI417441,S,40.2
PI424178C,S,45.1
PI424340B,MS,43.5
PI424482,S,48.5
PI445681,S,
PI506648,S,46.4
PI507401,S,40.4
PI507490,S,43.8
PI547512,,
PI548359,MS,41.3
PI548437,S,46.8
PI587566B,,43.6
PI587775,,46.4
PI594843,,46.7
PI603700,,46.5
PI606424,,
PI613559C,,
PI204335,S,46.8
PI215690,S,
PI284815,S,48.3
PI307868,S,
PI398553,S,45.5
PI408274,S,46.4
PI416883,MS,44.3
PI417088,S,44.6
PI417399,S,43.2
PI424392,MS,48.1
PI481690,S,44.4
PI507039,S,45.5
PI507088,S,46.9
PI507322,S,44.7
PI567088B,,48.5
PI578445,,
PI587754,,47.4
PI587799,,48.8
PI587844C,,44.4
PI587947,,
PI606365,,
PI200465,S,43.6
PI209340,S,46.6
PI307896,MS,
PI323565,S,48.9
PI374172,S,45.7
PI408110B,S,44
PI417256,S,45
PI423925,S,43.7
PI430600B,S,46.9
PI506564,S,44.2
PI506978,S,44.8
PI507258,S,45.8
PI507276,S,44.6
PI561287B,,42.3
PI567101,,42
PI567128B,,50
PI567136A,,48.3
PI587709B,,44.8
PI594421,,46.4
PI594784A,,47.3
PI615500,,
PI200474,S,45.5
PI200476,S,44.8
PI200487,S,46.4
PI281905,,
PI323551,S,46.7
PI374156,S,46.8
PI398824,S,48.8
PI407935,S,49.9
PI417350,S,47.5
PI417494,S,44
PI506614,S,44.9
PI507257,S,45.2
PI507330,S,44.3
PI507421,S,43.9
PI548305,S,47
PI548448,S,45.8
PI561359,,
PI567023A,,45.9
PI567063,,51.1
PI567109,,50
PI567130B,,48
PI587643A,,47.6
PI587807,,43.5
PI588005C,,50.8
PI594552B,,
PI594572A,,47.2
PI594858A,,42
PI603539D,,43.5
PI605863A,,46.9
PI606399,,
PI606410,,44.4
PI615510B,,
PI632936,,
PI165578,S,44
PI174867,S,46.4
PI200466,S,43.4
PI200469,S,45.7
PI208783,S,42.9
PI219655,S,43.8
PI416860,S,42.6
PI417000,S,42.3
PI417188,S,45.7
PI417493,S,42.5
PI424334,MS,47.3
PI468966,S,45.3
PI497969,,
PI506585A,S,45
PI507283,S,50.4
PI548348,S,41.5
PI548422,,42.9
PI549023B,,44.8
PI567023B,,45.9
PI567105,,49.3
PI567408,MS,45.5
PI587557B,,43.1
PI587577B,,45.1
PI587586,,46.1
PI587851B,,
PI587978A,,50.6
PI593948,,43.7
PI594422,,46.2
PI594533B,,
PI594700A,,48.9
PI594775,,47.1
PI605831A,,49.2
PI605876F,,
PI605879,,48.1
PI615464,,
PI615513,,
PI632636A,,
PI165943,S,44
PI175179,S,46.5
PI227555,MS,42.5
PI229358,S,50
PI281897A,,
PI374174,S,45.5
PI377573,MS,48
PI407911,S,44.9
PI408063,S,55.7
PI408286,S,45
PI416821,S,41.6
PI416828,S,
PI423930B,S,45.3
PI424183,S,44.5
PI506628,S,43.2
PI506890,S,40.2
PI566956,,
PI566975,,
PI587585C,,45
PI587620D,,47.1
PI587698C,,48.7
PI587788C,,46.4
PI587795,,49.4
PI587822B,,
PI588006A,,43.9
PI594782,,47.8
PI594784B,,47.1
PI612741,,41
PI283326,S,46.9
PI393545,MS,44.8
PI424361,MS,42.4
PI424418,S,46.5
PI476923,S,47.4
PI507223,S,43.2
PI507508,S,45.4
PI547730,,
PI548405,MS,42.1
PI561358B,,
PI567039,,44
PI567091,,47.3
PI587613,,43.8
PI594505B,,46.8
PI594805A,,44.7
PI603506,,49.7
PI606371,,
PI612611,,44.6
PI628876,,
PI157487A,,46.6
PI159094,S,47.3
PI166140,S,44.2
PI171430,MS,44.8
PI187154,S,42.1
PI281890D,,
PI324188,S,44
PI376069,S,50.8
PI398459,S,45.1
PI398606,S,47.7
PI407764,S,44.6
PI408303,S,45.8
PI417197,S,44.2
PI417373,S,44.2
PI458274,S,44.9
PI468965,S,45.7
PI504510,,43.8
PI506686,S,47.3
PI506944,S,42.4
PI506997,S,47.1
PI567234B,,42.8
PI587577G,,43.2
PI587726A,,46.4
PI587904,,47.3
PI587966C,,50.21
PI588006B,,45.8
PI594568C,,46
PI594874,,40.5
PI632945A,,
PI192874,S,43
PI205083,S,44
PI230971,S,
PI281896F,,
PI307898,S,
PI374175,S,45.7
PI374188B,,
PI393544,MS,45.2
PI408088,S,45.7
PI417089B,,
PI424475,S,42.9
PI458258,S,48.1
PI504507,S,43.1
PI518729,S,45.2
PI547521,,
PI566982,,52
PI578324D,,47.3
PI587640,,43.7
PI594427C,,50.5
PI594877,,47.2
PI612760,,47.2
PI632665,,
PI171438,S,46.1
PI171444,,48.4
PI200500,S,44
PI239484,S,
PI374166,S,45.6
PI434980B,,45
PI458054,S,44.1
PI507058,S,49.2
PI548514,,39.5
PI587970A,,46.4
PI594005A,,47
PI594517,,
PI615485,,
PI159922,S,44.8
PI200523,S,44.9
PI204338,S,45.8
PI240667B,,
PI281883C,,
PI281887A,,
PI391597,MS,45.3
PI423859,S,45.4
PI471941,S,43.4
PI506613,S,43.8
PI506694,S,44.8
PI507007,S,43.1
PI507081,S,41.8
PI507192,S,44.2
PI548402,,38.2
PI548440,,45.2
PI566968C,,49
PI567125,,50
PI567131B,,
PI587603A,,46.2
PI587798,,49.6
PI587978B,,52.9
PI594617,,50.1
PI606368,,
PI606442,,
PI632639D,,
PI200515,S,44.3
PI209839A,,54
PI219656,S,45.6
PI221972,S,47.4
PI228065,S,45.4
PI281891B,,
PI374189,S,
PI407967,S,45.3
PI408238-2,S,48.4
PI416759,S,44.4
PI416938,S,44.4
PI424453,S,50.6
PI468964,S,42.8
PI506566,S,44.4
PI548624,,43.3
PI561379A,,44.6
PI567005A,,52
PI567068A,,
PI587615,,50.1
PI594865,,44.5
PI605853C,,
PI606397B,,
PI632663A,,
PI208204,S,47
PI281907,S,
PI309655D,,
PI374199,S,
PI408154,S,46.4
PI417134,S,44.1
PI423895,S,47
PI424461,S,47.3
PI506924,S,41.4
PI506941,S,41.4
PI507105,S,42.1
PI567145B,,49
PI567270C,,50.4
PI587574B,,47.5
PI587627C,,46.4
PI587825A,,45.3
PI587958,,
PI588019C,,
PI594540,,
PI594545,,
PI594567B,,47.9
PI594631A,,47.3
PI594792B,,47.3
PI603775B,,
PI606388,,
PI615477,,
PI192873,S,46.7
PI200507,S,44.3
PI281904,S,45.3
PI398209,,47.8
PI398894,MS,45.7
PI408342,S,47.9
PI417052,S,47.3
PI495016,S,47.4
PI506643,S,44.1
PI507113,S,42.5
PI507560,S,41.7
PI548442,S,44.8
PI548446,S,44.7
PI561358A,,
PI567072A,,49.7
PI578455A,,46.4
PI587653,,45.7
PI587658C,,50.6
PI587927,,
PI594770A,,
PI603783,,
PI605884F,,43.1
PI606416A,,
PI612612A,,42.6
PI619616,,
PI174855,S,44.7
PI175177,S,49.3
PI215693,S,47.7
PI281896A,,
PI374158,S,45.4
PI408086,S,43.4
PI417306,S,41.4
PI417316,S,48.1
PI423961B,,50
PI445846B,,43
PI458260,S,47.7
PI497965,S,
PI506540,S,44.1
PI548302,S,39.4
PI548356,S,41.4
PI567119,,
PI567390,S,44.1
PI594500B,,45.8
PI594703,,50.3
PI605758B,,46.4
PI605862C,,45.7
PI614732,,41
PI615470,,
PI633622,,
PI222548,S,49.8
PI228064,S,41.7
PI323568,S,48
PI417053,S,46.4
PI548426,S,43.2
PI566994,,50.4
PI567342,,51.9
PI567675,MS,44.6
PI578444B,,49
PI578470,,46.5
PI587595C,,45.4
PI587612D,,45.8
PI594177,,48.5
PI594503,,43.9
PI594511A,,45.4
PI594512C,,43.8
PI594857,,45.2
PI605810C,,43.7
PI615504,,
PI175178,S,46.4
PI205907,S,50.6
PI209833,S,52.8
PI281889,S,43.6
PI324187B,,
PI398592,S,51.8
PI399078,S,50.7
PI424417,S,43.3
PI434973A,,
PI468971,S,47.2
PI481686,S,42.6
PI497956,,
PI506688,S,42.6
PI506888,S,42.8
PI548349,,41.5
PI567613,S,44
PI587606D,,48.2
PI587618C,,50.3
PI587687B,,45.5
PI587987B,,46.8
PI593238,,
PI594716B,,
PI603737B,,46.2
PI603775A,,
PI605860,,48.2
PI615438,,
PI183930,S,44.3
PI200451,S,45.7
PI200483,S,45.2
PI281893,,
PI323567,S,46.1
PI376070,MS,47.8
PI408152,S,45.8
PI445848A,,47.7
PI471925,S,43.4
PI506559,S,42.6
PI506649,S,46.1
PI507075,S,44.6
PI567232A,,45.5
PI567447D,MS,46
PI578305A,,45.7
PI587567B,,44.8
PI587757B,,43.3
PI587840,,41.5
PI587910,,
PI588022B,,
PI593993B,,47.7
PI606426,,44.2
PI615491,,
PI157475,S,43.3
PI222547,S,47.7
PI416843,S,42.9
PI417084B,,
PI417309B,,44.2
PI424157B,S,44.7
PI506539,S,42.1
PI507333,,43.4
PI567002C,,49
PI567069B,,50.9
PI587596A,,42.7
PI587601D,,44.3
PI587618D,,48.7
PI587687A,,45.4
PI587802,,45.2
PI587888,,45.1
PI593994,,46.6
PI639527,,
PI159093,S,45.5
PI417265,S,41.1
PI417562,S,41.7
PI423780,S,47.1
PI424182A,S,44
PI438428,S,46.2
PI507532,S,40.3
PI509096,S,42.7
PI518727,S,46.5
PI547717,,
PI548439,MS,42.4
PI548462,S,42.9
PI567030,,
PI587601A,,43.5
PI587721B,,45.2
PI587814B,,45.4
PI587843,,45.8
PI612728,,42.6
PI615495,,
PI628868,,
PI181569,,44.5
PI205906,S,46.1
PI215691,S,
PI227222,S,47.5
PI416960,S,45.5
PI417026,S,46.1
PI424438,S,43.1
PI430901,S,43.4
PI506593,S,44.9
PI506650,S,43.8
PI506707,S,40.5
PI507078,S,42.1
PI507375,S,41.9
PI507536,S,41.2
PI567040,,42
PI587747,,45.1
PI587854A,,46.2
PI594510A,,49
PI594650B,,43.3
PI594709,,45.1
PI605744,,
PI192871,S,47.8
PI281885,S,46.2
PI381661,S,45.6
PI399086,S,47.6
PI408311-2,S,43
PI417426,S,39.5
PI424474-2,S,42.8
PI481676,S,44
PI506584,S,43.5
PI507037,S,43.4
PI507077,S,41
PI507266,S,44.4
PI536521,,
PI567286,,46.3
PI587604A,,43.8
PI587604C,,42.8
PI587892C,,45.6
PI587897,,46.2
PI587954,,
PI587988A,,48.8
PI594249,,48.2
PI594586B,,46.5
PI594734,,
PI605859B,,46.4
PI615462,,
PI181547,MS,40.9
PI281906A,,
PI360851,S,43.6
PI393546,MS,45.1
PI417310,S,45.5
PI509102,S,43.2
PI543793,,45.2
PI548447,S,48.4
PI567076,,
PI567086B,,50
PI587855,,46.6
PI594519,,
PI594856,,44.4
PI605763,,46.9
PI628873,,
PI632664,,
PI171441,MS,41
PI407753,S,43.3
PI416861,S,42.9
PI416901,S,44.4
PI417337,S,44.6
PI481679,S,43.7
PI506603,S,46.1
PI507329,S,43.6
PI567341,MS,45.9
PI567373B,S,44.9
PI567397,S,44.2
PI587603C,,45.8
PI594005B,,48.5
PI594516,,
PI605853B,,46.6
PI615451A,,
PI615516,,
PI618809,,
PI240670,S,
PI307864,S,
PI307880A,,
PI398187,S,48.5
PI407965,S,51
PI408206-2,MS,46.5
PI417411,S,43.8
PI417579,,43.6
PI424390,S,46.4
PI436565,S,44.5
PI507023,S,44.2
PI547729,,
PI548362,,40.7
PI587801,,46.1
PI587895,,46.7
PI588023A,,49.4
PI594001,,47
PI594760A,,51.4
PI594786B,,
PI605897A,,45.7
PI612731,,44.8
PI632940,,
PI159925,S,45.5
PI281911A,,
PI407769,S,47.7
PI438439,S,44.1
PI471926,S,48.2
PI471934,S,46.5
PI507119,S,43.7
PI507469,,42.9
PI553044,,43.9
PI567074A,,
PI567413,S,44.5
PI567683B,,42.4
PI587822A,,
PI587940,,
PI594590,,51
PI632935B,,
PI200524,S,45.5
PI205899,S,48.1
PI310441,S,48.5
PI416793,S,48.2
PI458187,S,42.1
PI476915,S,42.6
PI497964C,,
PI548393,S,43
PI567024,,45.4
PI587564C,,47.1
PI587652,,45
PI594759D,,49.6
PI165929,S,47
PI192872,S,45.8
PI200505,MS,43.6
PI229350,MS,40.6
PI374191,S,
PI374198,S,
PI398956,MS,47
PI423922,S,45.1
PI424360,MS,42.7
PI506571,S,46.9
PI507103,S,43.3
PI507428,S,42.7
PI548464,,44
PI567104A,,49
PI567107A,,51.5
PI587601C,,42.7
PI587803,,45.1
PI603615A,,43.7
PI605758C,,
PI165947,S,45.6
PI181560,S,47
PI200510,S,45.8
PI210351B,,46.1
PI307891A,,
PI374192B,,
PI417383,S,44.4
PI458198,S,45.6
PI481688,MS,46
PI567097B,,
PI578323A,,43.1
PI587577H,,44
PI587932,,
PI588053B,,44.8
PI594510C,,
PI594531,,
PI594630,,51.7
PI606432A,,46.7
PI200484,S,45.6
PI259542,S,
PI281894,S,
PI306712,S,
PI423823,S,45.7
PI506775,S,43.7
PI507539,S,44.7
PI567080,,52
PI567110B,,46
PI578437A,,45.7
PI587597A,,43
PI587647A,,47.1
PI587972,,45.1
PI588048,,45.6
PI605761,,44.9
PI632937,,
PI212605,S,47.4
PI227567,S,41.4
PI307853,S,
PI407749,S,46.7
PI424163,S,45.9
PI509101,S,40.8
PI578464B,,
PI587601E,,48.2
PI594509A,,48.3
PI603472D,,46.5
PI200459,,44.1
PI381660,S,44.9
PI408164,S,45.2
PI417129B,,41
PI417314,S,43.8
PI417363,S,42.8
PI458242,S,45.3
PI506647,S,47.7
PI506713,S,42.7
PI507208,S,42.2
PI548353,S,43.7
PI548418,S,42.6
PI548667,S,42.5
PI567074B,,
PI567090,,48
PI567122D,,51
PI587714B,,45.8
PI594193,,
PI166032,S,42.4
PI181566,S,44.7
PI393548,S,45.1
PI398207,S,45.2
PI398793,S,49.9
PI437661B,S,44.7
PI441352,MS,51.3
PI441360A,,50
PI506578,S,46.3
PI547636,,
PI548648,,47.2
PI567138,,46
PI587739A,,48.6
PI587814A,,45.1
PI587914A,,
PI587924,,
PI603495B,,46.2
PI603578,,47.8
PI605858,,45.8
PI606384,,
PI179935,S,42.7
PI283328,S,47.2
PI324189,S,45.9
PI398220,S,49.2
PI458306B,S,41
PI506761,S,41.3
PI509108,S,42.9
PI548434,S,41.4
PI578471B,,42.8
PI587997A,,47.3
PI594005C,,47.3
PI594557B,,47.6
PI605844C,,46.9
PI416977,S,45.5
PI417093,S,41.4
PI417149,S,48.5
PI417346,S,44.4
PI471904,S,45
PI507290,S,42.6
PI548478,MS,45.7
PI567314,S,46.6
PI594004C,,50.8
PI594430D,,45.1
PI594711B,,42.2
PI594839A,,46
PI594852A,,
PI596540,,45.3
PI603606,,
PI606390B,,46.3
PI606438A,,47.2
PI175182,S,47.5
PI209577,S,45.5
PI307840,MS,
PI407757,,46.1
PI408337,S,41.5
PI416880A,,
PI417037,S,44.6
PI471940,S,43.5
PI506923,S,43.4
PI509093,S,43.7
PI548425,,43
PI567113,,49
PI567137A,,46.9
PI567309,S,44
PI567568B,,46.4
PI578359,,48.7
PI578437B,,46.4
PI587812A,,44.9
PI587862D,,47.4
PI588007A,,49.7
PI594526,,
PI594849,,
PI594880,,46.5
PI617041,,43.8
PI628872,,
PI194773,S,49.4
PI203403,S,47.2
PI215811,MS,46.3
PI341244A,,51
PI366036,S,45.9
PI398797,S,45.3
PI407751,S,44.7
PI416975,S,
PI417317,S,45.6
PI445846A,,41
PI458289,S,42.5
PI507219,S,44.1
PI547724,,
PI547761,,
PI548459,MS,44.8
PI567150B,,
PI578480,,43.2
PI587606C,,44.5
PI587693,,45.8
PI587914B,,
PI632662,,
PI157488,S,43.2
PI374190,MS,
PI398584,,43.8
PI399082,S,44.8
PI407929,MS,46.2
PI417404,S,43.3
PI567083B,,47
PI578307B,,
PI587874,,45.5
PI587883A,,45.3
PI587894,,46.6
PI587900C,,46.7
PI594594,,49
PI605764A,,45.2
PI615466,,
PI632945B,,
PI183929,S,46.1
PI240669,S,
PI319525,MS,42.7
PI323275,MS,46.7
PI323569,S,43.8
PI407739,MS,42.7
PI408200B,S,41.7
PI471927,S,47.5
PI506493,S,42
PI507337,S,40.9
PI548486,S,45.7
PI567000B,,42
PI587670A,,43.7
PI587808A,,45.4
PI587946B,,
PI587951A,,
PI588002,,47.9
PI594674B,,48.7
PI605853A,,46.4
PI628915,,
PI171451,S,47.2
PI408085,S,44.6
PI423986,S,42.4
PI464932,S,44.8
PI506741,S,44
PI559932,,42.1
PI567075B,,
PI587570B,,44
PI594645,,48.3
PI605786C,,
PI605818B,,48.6
PI615448,,
PI240665,S,44.7
PI374157,S,45.7
PI374200B,,
PI506805,S,44.7
PI547506,,
PI587668A,,45.6
PI587743,,45.2
PI594596,,52.9
PI594732,,
PI605859A,,47
PI615510C,,
PI200491,S,47.1
PI307851A,,
PI417370,S,44.8
PI441360B,,48
PI458271,S,47.8
PI509077,S,47.4
PI566964A,,51
PI566995B,,48.3
PI587585A,,43.6
PI587628,,49.2
PI587880A,,46.3
PI588005A,,50.3
PI594494B,,51.1
PI594805B,,47.7
PI603527B,,48.2
PI307851B,,
PI408244,S,44.7
PI417312,S,44
PI437717,S,44.8
PI468969,S,46.4
PI507010,S,44
PI507102,S,50.4
PI587862C,,45.9
PI606440C,,
PI632636B,,
PI208429,S,46.7
PI398792,S,49.7
PI423960B,,
PI506934,,42.8
PI567106B,,42
PI578448,,43.8
PI587712A,,45.5
PI587891A,,45.4
PI594497,,
PI594639,,46.1
PI594735,,
PI192869,S,43.3
PI281883A,,
PI399101,S,45
PI438473,MS,38.3
PI506534,S,43.3
PI506979,S,43.2
PI507545,S,42
PI546046,,41.44
PI548490,S,35.7
PI561392,,43.4
PI567089A,,52.7
PI567406B,MS,43.7
PI587555A,,44.8
PI587903B,,47.8
PI594000,,43.9
PI594418D,,50
PI594627A,,46.8
PI594863B,,
PI603625,,44.6
PI407798,S,50.4
PI408101,S,42.3
PI471936,MS,44.5
PI506488,S,41.2
PI518284,S,43.3
PI548557,,38
PI567412,S,42.1
PI587830B,,47.6
PI587992B,,47.4
PI587992D,,45.3
PI588003,,45.4
PI605869A,,49.3
PI605875,,45.1
PI374206,S,
PI407978,MS,47.3
PI417385,S,
PI417388,S,45.6
PI417407,MS,42.4
PI417409,,43.3
PI458024B,S,44.4
PI567343,S,48
PI567388,MS,47.4
PI587582,,45.1
PI587598B,,44.8
PI594753B,,
PI603161,,46.5
PI157413,S,45.8
PI248510,,45.7
PI398729,S,46.6
PI417414A,,47.6
PI507087,S,40.7
PI507115,S,45.3
PI547815,,
PI548508,,43.3
PI587662B,,46
PI587700D,,
PI587961,,
PI605895,,46.6
PI606375,,46.4
PI628808,,
PI205901A,,
PI374200C,,
PI416800,S,41.5
PI417031,S,43.5
PI424294C,S,48.8
PI476883,S,44.4
PI506600,S,45.3
PI509081,S,47.1
PI539862,,44.5
PI587911A,,
PI605755,,47.4
PI606400,,
PI281891A,,
PI306702B,,
PI323558,MS,45.6
PI323574,S,46.1
PI374196,S,
PI408034,S,46.5
PI417190,S,44
PI417389A,,46.3
PI434982,S,45.2
PI587666,,45.7
PI587742B,,43.3
PI587867,,45.5
PI594486C,,45.4
PI594657,,46.4
PI603633,,49.5
PI166048,S,47.9
PI208430,S,47.1
PI322690,S,46.4
PI398193,S,45.3
PI417443,S,44.9
PI436567,S,46.1
PI506605,S,51.1
PI567140A,,52
PI567312,MS,40.5
PI567377B,MS,45.9
PI594838,,
PI605850B,,43.4
PI229321,S,45.7
PI416825B,,
PI506691,S,45.1
PI509099,S,42.4
PI548338,S,42.6
PI587583D,,42
PI594700B,,50
PI605760,,46.6
PI605848,,46.6
PI230972,,43.8
PI323570,S,48.1
PI407784,S,45.9
PI497967,S,42
PI578358,,50.4
PI587565B,,46.4
PI587604B,,44.5
PI587900B,,46.3
PI594585,,50.6
PI594673,,47.7
PI602994,,45.1
PI605805B,,
PI230979,S,45.6
PI340030,S,45.2
PI407891,S,45
PI424478,S,49
PI458193,S,43.9
PI507046,S,47.3
PI567021,,49.1
PI578462,,
PI587755,,43.3
PI593992,,44.7
PI615502,,
PI200516,S,46.2
PI261272C,,
PI281912,,
PI374155,S,45.9
PI471932,S,48.5
PI506495,S,45.1
PI548332,S,44.1
PI567031A,,45.2
PI587567A,,47.6
PI587714A,,45.5
PI587814D,,45
PI587882,,43.8
PI594654,,47.4
PI281887B,,
PI324066,S,44
PI423897,S,41.6
PI587560A,,42.2
PI587573B,,47.7
PI587699,,48.9
PI593986,,42.9
PI632646,,
PI224269,S,41.5
PI307880C,,
PI398353,S,45.3
PI506646,S,43
PI567014A,,50.8
PI594152,,
PI594512D,,46.4
PI261272B,,
PI416947,MS,44.3
PI506666,S,41.2
PI506743,S,43.4
PI566985C,,46
PI567018,,50
PI628861,,
PI417260B,,48
PI506530,S,42.7
PI587601B,,45.4
PI587739B,,48.7
PI594480B,,49.6
PI594661,,48.8
PI594674A,,48.5
PI594848,,
PI398911,,46.6
PI407766,S,50.7
PI437586C,S,42.6
PI507112,S,43.3
PI547539,,
PI587612A,,45.1
PI594004A,,48
PI175174,MS,42
PI374197,S,
PI417319,S,46.1
PI417421,S,43.3
PI471933,S,46.5
PI587872,,45.9
PI594704,,49.8
PI171437,S,49
PI281913B,,
PI458284,S,44.9
PI497952,S,
PI587992G,,48.2
PI566970B,,42
PI587783,,48.1
PI594458A,,56
PI170892,S,49.4
PI398331,S,43.5
PI423906,S,43.2
PI430626,S,44.4
PI587690,,45.5
PI594665,,48.1
PI212604,MS,46.7
PI398287,S,45.1
PI398557,S,43.2
PI408327B,S,45.1
PI458102,S,46.1
PI507314,S,42.2
PI547713,,
PI547726,,
PI578319C,,48.8
PI587877B,,47.5
PI606364,,51.4
PI374200A,,
PI407896,S,41.9
PI424450,S,44.1
PI547701,,
PI567116A,,50.4
PI578473D,,46
PI594397A,,45.5
PI200520,S,44.4
PI398892,MS,43.7
PI567147A,,51
PI578320,,47.4
PI587812B,,46.1
PI597649,,
PI628832,,
PI165989,S,42.2
PI407930,,47.6
PI567407,S,44
PI587661B,,
PI587668C,,47.2
PI594794B,,49.7
PI340028,S,43.2
PI505650,S,48
PI548443,S,51.5
PI566988A,,45.4
PI587559B,,42.4
PI587713,,44.5
PI587790B,,44.9
PI587863B,,43.9
PI606436,,
PI208434,S,47.2
PI506633,S,41.8
PI567147B,,48
PI567629A,S,44.6
PI578324B,,46.5
PI605781B,,43.5
PI606433,,
PI612709C,,41.1
PI165563,S,48.6
PI374203,S,
PI506773,S,46.2
PI506974,S,43.8
PI547534,,
PI548552,,42
PI567271,,45.8
PI398594,S,47
PI458150C,S,43.4
PI497953,,
PI506968,S,43.4
PI615449,,
PI175187,MS,47.1
PI340000,S,49.2
PI416780,S,42
PI416926B,,43
PI424433,MS,53.7
PI497960,S,44.3
PI547536,,
PI578471A,,44.1
PI588009,,48.1
PI424553,S,43.6
PI567128A,,51
PI567146C,,50
PI587554,,44.9
PI587752,,44.6
PI628906,,
PI424337-1,S,44.4
PI495019,S,45.7
PI559371,,42.9
PI578454,,45.1
PI628901,,
PI497961,S,41.4
PI547816,,
PI587779,,47.2
PI587942,,
PI588021A,,46.1
PI594004B,,49.4
PI307844,S,
PI307855,S,
PI506827,S,44
PI507045,,42.2
PI567238,,
PI587815A,,43.5
PI594557A,,50.3
PI615514,,
PI564849,,40.4
PI567048A,,48.4
PI567178,,41.5
PI594518,,
PI205903,S,51.1
PI274507,S,46.6
PI594660B,,47.5
PI166028,S,43.7
PI408282,S,45.3
PI471939,S,52
PI326578,S,50.1
PI398280,S,46.3
PI417311,S,46.5
PI567127B,,50
PI567409B,MS,46
PI587884,,46.2
PI588038,,
PI594751D,,45.4
PI331793,S,46.8
PI471930,S,45.2
PI567082C,,48
PI587656,,46.5
PI587778,,57.4
PI165926,S,44.9
PI230973,S,44.6
PI379620,S,48.7
PI398596,MS,50.3
PI567332,S,45.9
PI578311C,,46.1
PI594702,,47.4
PI594820A,,43.8
PI281911B,,
PI398432,S,44
PI500648,S,47.9
PI506496,S,43.8
PI578319F,,44.5
PI578441,,44.1
PI587808B,,44.8
PI159927,S,46.1
PI307597,S,
PI424521B,S,44.5
PI438153,S,45.2
PI438429,S,49
PI497964A,,
PI509100,,43.3
PI561362,,41.8
PI587660A,,46.3
PI587676,,44.6
PI594796,,46.2
PI174863,S,43.3
PI374165,S,45
PI561701,,
PI594641,,48.6
PI594658,,47.6
PI407837,S,46.1
PI407893,S,46.3
PI507284,S,41.6
PI587592B,,47.8
PI587889,,45.1
PI587891B,,44.5
PI346305,S,44.9
PI506553,S,45.6
PI506639,S,50.1
PI567029B,,
PI587585B,,44.8
PI606407,,
PI204337,S,47.2
PI398351,MS,45.1
PI561383,,48.8
PI578305B,,46.7
PI578335A,,42.2
PI587788A,,45
PI588052C,,45.9
PI601984,,44.1
PI615484,,
PI408308B,S,46.6
PI476913,S,45.5
PI506729,S,42.5
PI567098B,,47
PI567143,,51
PI587700C,,48.2
PI587811A,,48.6
PI605890B,,
PI229315,S,43.7
PI567445C,MS,44.9
PI567459,S,44.9
PI578316C,,48.5
PI587820B,,47.8
PI603615B,,48.6
PI424178A,S,43.6
PI428691,S,47.6
PI548319,S,41.4
PI578311A,,46.1
PI587870,,46.9
PI594678,,47.2
PI605809A,,47.6
PI628819,,
PI259538,S,44.1
PI507575,S,42.8
PI567031C,,45
PI587787,,47.6
PI632418,,
PI441380,S,
PI567022A,,45.6
PI612754,,45
PI175198,S,45.8
PI307862,S,
PI509113,S,49.7
PI594660C,,47.5
PI594759C,,48.2
PI437738A,S,42.3
PI555453,,44.8
PI567402,MS,47.8
PI578442,,46.2
PI587794,,45.7
PI603176B,,50
PI603702A,,46.7
PI165914,S,44.4
PI407885,MS,48.5
PI424474-1,S,44.4
PI567406A,MS,43.7
PI578332A,,45.6
PI578478B,,45.4
PI587820A,,46.4
PI587856B,,
PI423971B,,48
PI506557,S,45.2
PI587851A,,45.3
PI587892A,,42.5
PI208438,S,44.1
PI323553,S,44.8
PI407853,S,45.2
PI507142,S,44.1
PI509082,S,46.7
PI605887B,,
PI281892B,,
PI323562,S,47.8
PI424156D,S,46.6
PI506489,S,46.2
PI506908,S,42.2
PI507579,S,44.1
PI567003B,,49
PI594631B,,48.9
PI628826,,
PI166105,S,46.2
PI253664,S,47.5
PI458264,S,43.4
PI518723,S,47
PI587911B,,
PI594219,,44.5
PI594418A,,44.2
PI417260A,,47
PI434981,S,45.5
PI471943A,,43
PI548578,,41.6
PI603708,,
PI628916,,
PI341246,S,
PI506506,S,45.9
PI548341,S,50.9
PI587624,,46.2
PI240664,S,
PI307878A,,
PI408121,S,46.7
PI587749,,45.9
PI632748,,
PI307884A,,
PI567044,,46
PI628890,,
PI355070,S,44.8
PI518295,S,44.9
PI423959,S,46.3
PI567139B,,50
PI587726B,,48.3
PI175189,MS,45
PI340003,S,42.3
PI561395,,39.9
PI594652B,,49.2
PI221714,S,45.4
PI587950,,
PI594797,,46.6
PI323573,S,47
PI506797,S,49.4
PI239235,S,52
